timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538211994818500,2.9363672733306885,-10.421217918395996,1445.3889656066895,1483.6349487304688,1445.3889656066895,1483.6349487304688,139.5,97.0,1,1,0,0
1770538212041708900,1.9356473684310913,-12.271166801452637,1362.6087856292725,1539.9683117866516,1362.6087856292725,1539.9683117866516,151.0,83.5,1,1,0,0
1770538212081890400,1.5555773973464966,-11.81301212310791,1334.811143875122,1526.9872784614563,1334.811143875122,1526.9872784614563,145.5,71.5,1,1,0,0
1770538212117363500,1.7671165466308594,-10.434623718261719,1345.0014781951904,1500.449287891388,1345.0014781951904,1500.449287891388,140.0,91.0,1,1,0,0
1770538212150855500,1.454696536064148,-9.350207328796387,1298.2823753356934,1369.4415092468262,1298.2823753356934,1369.4415092468262,152.5,81.0,1,1,0,0
1770538212182498400,1.423591136932373,-8.283432960510254,1319.2666053771973,1243.2731866836548,1319.2666053771973,1243.2731866836548,131.0,102.0,1,1,0,0
1770538212217269000,1.3896105289459229,-8.048730850219727,1305.8467197418213,1175.3444194793701,1334.811143875122,1483.6349487304688,158.0,96.0,1,1,0,0
1770538212255139000,1.0943492650985718,-6.910297393798828,1272.5359153747559,980.0418376922607,1319.2666053771973,1369.4415092468262,157.5,103.0,1,1,0,0
1770538212289592400,1.594289779663086,-7.352085113525391,1313.2245540618896,1066.9421911239624,1319.2666053771973,1243.2731866836548,157.5,78.5,1,1,0,0
1770538212324771900,1.5936371088027954,-8.145122528076172,1343.0192184448242,1164.9536490440369,1334.811143875122,1175.3444194793701,154.0,107.0,1,1,0,0
1770538212371244000,0.685589075088501,-7.527247905731201,1253.3008289337158,1076.8570303916931,1319.2666053771973,1164.9536490440369,157.5,100.5,1,1,0,0
1770538212411130700,1.013472318649292,-6.84242057800293,1275.025691986084,977.2235870361328,1319.2666053771973,1164.9536490440369,152.0,82.0,1,1,0,0
1770538212452500700,1.0892354249954224,-6.464524745941162,1272.9794883728027,849.142849445343,1319.2666053771973,1164.9536490440369,148.0,92.5,1,1,0,0
1770538212490794100,1.0024032592773438,-9.151932716369629,1279.6539402008057,1246.1443305015564,1279.6539402008057,1164.9536490440369,156.5,96.0,1,1,0,0
1770538212529327700,0.22811304032802582,-7.551600933074951,1194.7396659851074,1033.627438545227,1279.6539402008057,1164.9536490440369,159.5,103.5,1,1,0,0
1770538212571879000,0.9460981488227844,-7.116248607635498,1268.7290668487549,946.2946057319641,1279.6539402008057,1164.9536490440369,146.0,93.0,1,1,0,0
1770538212615278000,0.8134519457817078,-6.928767681121826,1275.1122093200684,1085.9152793884277,1279.6539402008057,1164.9536490440369,144.0,94.0,1,1,0,0
1770538212657605300,0.7648427486419678,-5.355020523071289,1293.5972213745117,759.1020584106445,1279.6539402008057,1085.9152793884277,140.5,96.0,1,1,0,0
1770538212697917300,1.9405796527862549,-8.806797981262207,1361.9352722167969,1311.9623064994812,1279.6539402008057,1164.9536490440369,144.5,89.0,1,1,0,0
1770538212740425100,0.5719580054283142,-7.185211658477783,1256.4721870422363,1082.131540775299,1279.6539402008057,1085.9152793884277,133.5,89.5,1,1,0,0
1770538212782145500,1.2087169885635376,-5.619194507598877,1318.6427021026611,934.4682097434998,1279.6539402008057,1085.9152793884277,151.5,85.5,1,1,0,0
1770538212821412000,-0.27559420466423035,-6.020214557647705,1185.3161430358887,948.7398147583008,1279.6539402008057,1085.9152793884277,139.0,99.0,1,1,0,0
1770538212866150200,-0.061334799975156784,-6.717451095581055,1222.8905868530273,1079.53462600708,1279.6539402008057,1082.131540775299,144.5,99.0,1,1,0,0
1770538212910290900,-0.0410415343940258,-8.014226913452148,1196.4746475219727,1201.5767455101013,1279.6539402008057,1085.9152793884277,136.5,98.0,1,1,0,0
1770538212949477900,-1.0728083848953247,-5.5337653160095215,1085.4929065704346,910.0024938583374,1222.8905868530273,1082.131540775299,142.5,83.5,1,1,0,0
1770538212988194800,0.0033642537891864777,-4.463695049285889,1253.563814163208,768.2816505432129,1253.563814163208,1082.131540775299,140.0,88.0,1,1,0,0
1770538213039102800,0.2865719795227051,-7.059060573577881,1234.8266315460205,1035.1470708847046,1234.8266315460205,1082.131540775299,137.0,84.5,1,1,0,0
1770538213075556300,-1.1052923202514648,-5.255429267883301,1111.474027633667,870.168149471283,1222.8905868530273,1035.1470708847046,139.5,80.0,1,1,0,0
1770538213117862200,-1.4248871803283691,-3.719566822052002,1044.0500736236572,807.3725402355194,1234.8266315460205,1035.1470708847046,138.5,91.5,1,1,0,0
1770538213160747000,-1.297797441482544,-6.298436641693115,1013.4200191497803,882.7965259552002,1222.8905868530273,1035.1470708847046,141.0,82.0,1,1,0,0
1770538213196556900,-1.8940547704696655,-7.580421447753906,714.4525909423828,1083.4232926368713,1111.474027633667,1035.1470708847046,144.0,101.5,1,1,0,0
1770538213235044000,-1.9943691492080688,-8.708243370056152,630.1581001281738,1254.9946546554565,1044.0500736236572,1035.1470708847046,146.5,82.0,1,1,0,0
1770538213281930300,-1.6466697454452515,-7.116925239562988,826.2220859527588,1124.096953868866,1013.4200191497803,1035.1470708847046,155.0,80.5,1,1,0,0
1770538213320637000,-1.679559350013733,-7.114001750946045,806.9990158081055,1004.1367650032043,826.2220859527588,1035.1470708847046,141.0,71.5,1,1,0,0
1770538213358450200,-1.8836396932601929,-6.631022930145264,733.6015892028809,954.2714953422546,826.2220859527588,1035.1470708847046,140.0,94.0,1,1,0,0
1770538213399274000,-1.6541894674301147,-7.402125835418701,840.1312065124512,984.0189099311829,840.1312065124512,1035.1470708847046,140.5,92.0,1,1,0,0
1770538213439025900,-1.6565320491790771,-8.491067886352539,830.3653049468994,1139.503026008606,826.2220859527588,1035.1470708847046,145.5,87.5,1,1,0,0
1770538213477475000,-1.4747662544250488,-8.453213691711426,933.312520980835,1139.5793080329895,830.3653049468994,1035.1470708847046,152.0,95.5,1,1,0,0
1770538213521326900,-1.432623267173767,-8.566149711608887,967.307653427124,1164.870822429657,840.1312065124512,1035.1470708847046,151.5,95.0,1,1,0,0
1770538213562421300,-1.6602288484573364,-7.108492374420166,832.9687213897705,1028.8076162338257,832.9687213897705,1035.1470708847046,145.0,103.0,1,1,0,0
1770538213600375200,-1.782632827758789,-8.342019081115723,752.4075222015381,1185.8002066612244,830.3653049468994,1035.1470708847046,150.0,85.0,1,1,0,0
1770538213641162900,-1.7904448509216309,-7.721867084503174,729.1715240478516,1112.5026226043701,832.9687213897705,1035.1470708847046,138.5,84.5,1,1,0,0
1770538213681539000,-1.8082813024520874,-7.058539867401123,767.2078227996826,985.5023860931396,830.3653049468994,1035.1470708847046,136.5,80.0,1,1,0,0
1770538213723867000,-1.5946760177612305,-8.5466947555542,888.8627815246582,1171.6849207878113,830.3653049468994,1035.1470708847046,146.0,97.5,1,1,0,0
1770538213765227000,-1.4592229127883911,-9.5504150390625,952.5027179718018,1244.1854596138,832.9687213897705,1035.1470708847046,145.0,94.5,1,1,0,0
1770538213801559000,-1.8797612190246582,-8.75156307220459,697.8314352035522,1197.1657991409302,830.3653049468994,1035.1470708847046,141.5,87.0,1,1,0,0
1770538213837360600,-1.913389801979065,-8.892325401306152,597.8540468215942,1270.8633542060852,830.3653049468994,1171.6849207878113,143.0,109.0,1,1,0,0
1770538213873196900,-1.5122827291488647,-7.606699466705322,399.3084383010864,1142.3274993896484,830.3653049468994,1142.3274993896484,142.0,80.0,1,1,0,0
1770538213908786000,-1.900525450706482,-8.424911499023438,543.436918258667,1193.4496521949768,697.8314352035522,1171.6849207878113,147.0,92.0,1,1,0,0
1770538213946057800,-1.9994627237319946,-7.578764915466309,467.3190450668335,1143.3911561965942,597.8540468215942,1171.6849207878113,141.0,77.0,1,1,0,0
1770538213979445100,-2.045794725418091,-7.648394584655762,478.8791084289551,1087.1394395828247,543.436918258667,1142.3274993896484,152.0,101.0,1,1,0,0
1770538214019791500,-1.7817660570144653,-6.672368049621582,746.6667366027832,1101.9585371017456,697.8314352035522,1143.3911561965942,153.5,91.0,1,1,0,0
1770538214059205900,-2.072754144668579,-7.986166954040527,436.4380645751953,1142.5811290740967,543.436918258667,1142.5811290740967,153.5,92.0,1,1,0,0
1770538214096642800,-2.0365045070648193,-8.068020820617676,420.50355434417725,1121.3205456733704,543.436918258667,1142.3274993896484,153.0,80.0,1,1,0,0
1770538214131460600,-1.6969218254089355,-6.956491470336914,328.028883934021,1058.602774143219,543.436918258667,1142.3274993896484,153.0,91.5,1,1,0,0
1770538214167252000,-1.7888213396072388,-6.984153747558594,407.56929874420166,1013.6627912521362,436.4380645751953,1142.3274993896484,148.0,90.5,1,1,0,0
1770538214202041600,-1.7888213396072388,-6.984153747558594,407.56929874420166,1013.6627912521362,420.50355434417725,1121.3205456733704,148.0,90.5,1,1,0,0
1770538214238865100,-1.2780588865280151,-7.9362711906433105,254.6444606781006,1276.7778396606445,407.56929874420166,1142.3274993896484,152.0,88.0,1,1,0,0
1770538214275081800,-1.1119600534439087,-5.724945068359375,289.84731674194336,980.209743976593,407.56929874420166,1121.3205456733704,157.5,77.0,1,1,0,0
1770538214308890800,-1.273589015007019,-5.312030792236328,353.2033896446228,1041.9434666633606,407.56929874420166,1121.3205456733704,147.5,82.5,1,1,0,0
1770538214349687000,-1.0983123779296875,-7.377378940582275,183.87321710586548,1221.793520450592,353.2033896446228,1142.3274993896484,151.0,86.5,1,1,0,0
1770538214385995600,-1.055740475654602,-7.374480724334717,140.62076210975647,1222.1599102020264,353.2033896446228,1121.3205456733704,155.0,86.5,1,1,0,0
1770538214422850700,-1.378433346748352,-5.744852542877197,348.84432792663574,1076.3918280601501,353.2033896446228,1121.3205456733704,152.5,85.0,1,1,0,0
1770538214458568400,-1.3128598928451538,-6.180983066558838,239.04080629348755,1075.3196954727173,348.84432792663574,1121.3205456733704,143.5,90.0,1,1,0,0
1770538214497573900,-0.9695358872413635,-6.709907054901123,162.22641706466675,1172.2873449325562,348.84432792663574,1121.3205456733704,141.5,92.0,1,1,0,0
1770538214537399700,-1.025322675704956,-6.857756614685059,121.43268942832947,1140.6453251838684,348.84432792663574,1121.3205456733704,142.5,91.5,1,1,0,0
1770538214575912600,-1.060837984085083,-6.865530490875244,141.3950514793396,1145.8247780799866,239.04080629348755,1121.3205456733704,152.0,90.5,1,1,0,0
1770538214617268600,-1.2049906253814697,-7.257742881774902,130.39331674575806,1146.651542186737,162.22641706466675,1140.6453251838684,148.0,90.0,1,1,0,0
1770538214654508500,-1.2407137155532837,-6.4494757652282715,144.17319774627686,1025.9955883026123,144.17319774627686,1121.3205456733704,154.0,101.5,1,1,0,0
1770538214694877200,-1.38881516456604,-8.555575370788574,203.293354511261,1286.4680171012878,203.293354511261,1140.6453251838684,156.0,103.5,1,1,0,0
1770538214729375400,-1.5193709135055542,-7.6749091148376465,258.3436346054077,1226.7598986625671,162.22641706466675,1140.6453251838684,150.5,91.0,1,1,0,0
1770538214767613500,-0.9614167809486389,-5.839075565338135,181.4515256881714,1056.5443396568298,181.4515256881714,1121.3205456733704,138.5,82.5,1,1,0,0
1770538214809513900,-1.1323624849319458,-7.559030055999756,142.27198362350464,1183.4358930587769,181.4515256881714,1140.6453251838684,138.5,99.0,1,1,0,0
1770538214848281800,-1.2955468893051147,-5.777735233306885,287.9502868652344,887.7324342727661,181.4515256881714,1140.6453251838684,140.5,96.0,1,1,0,0
1770538214885678700,-0.9524539113044739,-6.594332695007324,103.15564513206482,992.9301738739014,181.4515256881714,1121.3205456733704,149.0,88.0,1,1,0,0
1770538214925493700,-1.3612475395202637,-6.69357967376709,268.94087076187134,1000.5260825157166,181.4515256881714,1121.3205456733704,159.0,80.0,1,1,0,0
1770538214965897100,-1.230387568473816,-8.524333000183105,168.0345904827118,1323.1797337532043,181.4515256881714,1140.6453251838684,161.0,92.5,1,1,0,0
1770538215007299300,-1.7499651908874512,-7.7421793937683105,267.83599376678467,1251.1843085289001,181.4515256881714,1121.3205456733704,156.5,91.5,1,1,0,0
1770538215050238000,-0.8917293548583984,-5.735061168670654,186.88960790634155,1123.3735084533691,181.4515256881714,1123.3735084533691,136.0,95.0,1,1,0,0
1770538215088916500,-0.9433174729347229,-4.999001979827881,173.1467092037201,918.3912634849548,181.4515256881714,1123.3735084533691,144.5,82.0,1,1,0,0
1770538215124186800,-1.1066466569900513,-4.795076847076416,200.4262661933899,789.1705870628357,181.4515256881714,1121.3205456733704,149.5,90.5,1,1,0,0
1770538215159450700,-1.2727056741714478,-5.5621256828308105,178.22593331336975,911.3388776779175,181.4515256881714,1121.3205456733704,149.5,78.5,1,1,0,0
1770538215200356000,-0.7201921939849854,-5.186575889587402,77.56734430789948,842.8608477115631,181.4515256881714,918.3912634849548,149.5,84.5,1,1,0,0
1770538215243324600,-0.7434442639350891,-4.367339134216309,85.4236900806427,751.019275188446,181.4515256881714,911.3388776779175,159.5,91.0,1,1,0,0
1770538215281696100,-0.7942630648612976,-5.051352024078369,117.35068917274475,846.2341547012329,178.22593331336975,911.3388776779175,162.5,104.0,1,1,0,0
